sound,pronunciation,native,language,meaning
GOOD,dja+_di+,jaadi,apache (western),pronghorn
GOOD,HaxpItI+,hashbidí,apache (western),quail
GOOD,tulI&,tulį,apache (western),raccoon
GOOD,SItxh~I+_,łichíí,apache (western),red
GOOD,tupa&_yu+,tubąąyú,apache (western),riverbank
GOOD,tsh~E+_,tséé,apache (western),rock
GOOD,sI-k,sig,apache (western),scar
GOOD,yo'I&_,yo’įį,apache (western),see
GOOD,IyIkE+,iyigéʼ,apache (western),seed
GOOD,tS'o+k'a-',tlʼókʼaʼ,apache (western),shaft of arrow
GOOD,tItSh~It,ditłid,apache (western),shaky
GOOD,kh~E_,kee,apache (western),shoe
GOOD,Ha'th~o'a_S,ha’do’aał,apache (western),sing
GOOD,ya_',yaaʼ,apache (western),sky
GOOD,tS'I_x,tłʼiish,apache (western),snake
GOOD,zas,zas,apache (western),snow
GOOD,Ixkh~I_nHn,ishkiinhn,apache (western),son
GOOD,na'IStsh~o+X,na'iłtsóh,apache (western),squirrel
GOOD,kh~u_Ga+,kuughá,apache (western),teepee
GOOD,a+Xo,áho,apache (western),thank you
GOOD,oyE_S,oyeeł,apache (western),to carry
GOOD,nawoSkh~a_tI,nawołkaadi,apache (western),warrior
GOOD,th~u+,tú,apache (western),water
GOOD,th~u+na+lI&+_',túnálį́į́’,apache (western),waterfall
GOOD,SI+kai,łigai,apache (western),white
GOOD,pa'txh~o,ba'cho,apache (western),wolf
GOOD,Iztsa+n,izdzán,apache (western),woman
GOOD,txh~Ij,chizh,apache (western),wood
GOOD,SIth~sok,łitsog,apache (western),yellow
hh,hhayawa_n,حيوان,arabic,animal
GOOD,Cq~aby,ظبي,arabic,antelope
tQ,tq~ayr,طير,arabic,birds
GOOD,naQi_m,نعيم,arabic,bliss
GOOD,QiCq~a_m,عظام,arabic,bones
sQ,sq~abiyy,صبي,arabic,boy
GOOD,Gusq~n,غصن,arabic,branch (of a tree)
hh,hha_fila,حافلة,arabic,bus
GOOD,Kafasq~,قفص,arabic,cage
GOOD,Kittq~a,قطة,arabic,cat
GOOD,fahhasq~a,فحص,arabic,check up
GOOD,tq~abba_H,طباخ,arabic,chef
GOOD,tq~ifl,طفل,arabic,child
GOOD,sahha_ba,سحابة,arabic,cloud
GOOD,QunKu_d,عنقود,arabic,cluster
G,Gura_b,غراب,arabic,crow
G,Gaza_l,غزال,arabic,deer
sQ,sq~ahhra_',صحراء,arabic,desert
GOOD,'ila_hiyy,إلهي,arabic,divine
hh,hhima_r,حمار,arabic,donkey
GOOD,al'ardq~,الأرض,arabic,earth
GOOD,naCCq~a_ra,نظارة,arabic,eyeglasses
sQ,sq~aqr,صقر,arabic,falcon
GOOD,mazraQa,مزرعة,arabic,farm
GOOD,'isq~baQ,إصبع,arabic,finger
dQ,dq~aba_b,ضباب,arabic,fog
tQ,tq~aQa_m,طعام,arabic,food
G,Ga_ba,غابة,arabic,forest
Q,caQlab,ثعلب,arabic,fox
dQ,dq~ifdiQ,ضفدع,arabic,frog
hh,hhadi_Ka,حديقة,arabic,garden
GOOD,sq~amG,صمغ,arabic,glue
GOOD,Qinab,عنب,arabic,grape
GOOD,'aHdq~ar,أخضر,arabic,green
hh,hhisq~a_n,حصان,arabic,horse
GOOD,Qasq~i_r,عصير,arabic,juice
GOOD,mifta_hh,مفتاح,arabic,key
GOOD,matq~bax,مطبخ,arabic,kitchen
GOOD,tq~a_baK,طابق,arabic,large brick/tile
GOOD,raGi_f,رغيف,arabic,loaf
GOOD,Hattq~a,خط,arabic,luck
GOOD,miGna_tq~i_s,مغناطيس,arabic,magnet
GOOD,Qadq~ala,عضلة,arabic,muscle
GOOD,'uHtq~ubu_tq~,أخطبوط,arabic,octopus
GOOD,midq~rab,مضرب,arabic,paddle
GOOD,naHla,نخلة,arabic,palm tree
GOOD,djanna,جنة,arabic,paradise
GOOD,HawH,خوخ,arabic,peach (fruit)
GOOD,rumma_n,رمان,arabic,pomegranate
GOOD,'ahhmar,أحمر,arabic,red
GOOD,di_n,دين,arabic,religion
GOOD,mattq~a_tq~,مطاط,arabic,rubber
GOOD,Gali_Cq~,غليظ,arabic,rude
GOOD,milhh,ملح,arabic,salt
GOOD,Qaqrab,عقرب,arabic,scorpion
GOOD,fidq~dq~a,فضة,arabic,silver
GOOD,Qusq~fu_r,عصفور,arabic,sparrow (bird)
GOOD,milQaKa,ملعقة,arabic,spoon
GOOD,rabi_Q,ربيع,arabic,spring (season)
GOOD,Qasq~an,عصا,arabic,stick
GOOD,Gari_b,غريب,arabic,stranger
GOOD,Haytq~,خيط,arabic,string
GOOD,Qayyana,عين,arabic,to appoint
GOOD,Kawiya,قوي,arabic,to be strong/powerful
dQ,dq~awwa'a,ضوأ,arabic,to illuminate
GOOD,Qalima,علم,arabic,to know
GOOD,habba,حب,arabic,to love
GOOD,tafawwaKa,تفوق,arabic,to outperform
GOOD,sq~awifa,صوف,arabic,to produce wool
GOOD,lamaQa,لمع,arabic,to shine
GOOD,Cq~ami'a,ظمئ,arabic,to thirst
GOOD,Qasq~aba,عصب,arabic,to twist/wrap around
GOOD,xadjara,شجرة,arabic,tree
GOOD,maCq~alla,مظلة,arabic,umbrella
GOOD,sq~awt,صوت,arabic,voice
GOOD,Kamhh,قمح,arabic,wheat
GOOD,'abyadq~,أبيض,arabic,white
GOOD,Qa_m,عام,arabic,year
GOOD,'asq~far,أصفر,arabic,yellow
GOOD,pUyer'ca',ပရိသတ်,burmese,audience
GOOD,nE-za',နယ်စပ်,burmese,boundary
e-I,te-Iq,တိမ်,burmese,cloud
GOOD,ta+Iqpyi-,တိုင်းပြည်,burmese,country/kingdom
i+,mi+,မီး,burmese,fire
GOOD,na-Iqa-qdjy~a+,နိုင်ငံခြာ,burmese,foreign country
GOOD,th~UmI+qdjy~o#-,ထမင်း‌ကြော်,burmese,fried rice
i+,cI'ci+,သစ်သီး,burmese,fruit
GOOD,tUya+Cu-djy~i+,တရားသူကြီး,burmese,judge (person)
e-,mye-,မြေ,burmese,land
U,'UywE',အရွက်,burmese,leaf
a&,la&,လ,burmese,moon
a-O,ta-Oq,တောင်,burmese,mountain
GOOD,da+Oq,ဒေါင်း,burmese,peacock
o+,mo+,မိုး,burmese,rain
GOOD,to#-h~la-qye+,တော်လှန်ရေ,burmese,revolution
GOOD,pyI-qny~a-cI-qsh~u&,ပညာသင်ဆု,burmese,scholarship
I-,pI-qlE-,ပင်လယ်,burmese,sea
i&,'Usi&,အစေ့,burmese,seed
GOOD,te+ca-qxI-q,တေးသံရှင်,burmese,singer/vocalist
a+O,ka+OqgI-q,ကောင်းကင်,burmese,sky
E-,txy~E-,ကြယ်,burmese,star
aO,txy~aO',ကျောက်,burmese,stone
GOOD,tE'ka&be-da&,တက္ကဗေဒ,burmese,study of logic
e-,ne-,နေ,burmese,sun
GOOD,ne-ya-Oq,နေရောင်,burmese,sunshine
GOOD,ni+pyI-qny~a-,နည်းပညာ,burmese,technology
GOOD,ta+Oqba-q,တောင်းပန်,burmese,to apologize
GOOD,ne-ka+Oq,နေကောင်,burmese,to be well
a+O,pya+OqlE+,ပြောင်းလဲ,burmese,to change
aO,caO',သောက်,burmese,to drink
a+,sa+,စား,burmese,to eat
a-,pya-q,ပျံ,burmese,to fly
i&,xi&,ရှိ,burmese,to have
txy~,txy~a+,ကြား,burmese,to hear
txy~h~,txy~h~I',ချစ်,burmese,to love
oO,loO',လုပ်,burmese,to make
I-,myI-q,မြင်,burmese,to see
th~,th~a-Iq,ထိုင်,burmese,to sit
eI,'eI',အိပ်,burmese,to sleep
I+,sI+qza+,စဉ်းစား,burmese,to think
I-,cI'pI-q,သစ်ပင်,burmese,tree
e-,ye-,ရေ,burmese,water
GOOD,de-Iqdjy~I-q,ဒိန်ချဉ်,burmese,yogurt
GOOD,txy~h~i-i--i+n,昑,chinese,bright
GOOD,lii++nyu++u--txy~yA++n,淋浴间,chinese,shower room
GOOD,txy~yA-A--A+n,囝,chinese,child
GOOD,swe++i--HwU++txy~h~yUU++n,碎花裙,chinese,floral skirt
GOOD,pe++i--txy~i-i--i+qtxy~h~yaa++q,背景墙,chinese,background wall
GOOD,tsuu++txy~h~you++yyuA++n,足球员,chinese,soccer player
GOOD,ka++u++TXh~UU++qpU-U--U+n,高成本,chinese,high cost
GOOD,ka++a--q,戆,chinese,simple
GOOD,XO++O--pe++i--mii++qTXh~U++q,设备名称,chinese,device name
GOOD,pwo++lii++pe++i++,玻璃杯,chinese,glass
GOOD,txy~h~yuA++nXUU++nkyu++A--nTXu++u--,全神贯注,chinese,undivided attention
GOOD,rU++U--nwei++,认为,chinese,find
GOOD,TXh~waa++q,床,chinese,bed
GOOD,fe++i++TXh~aa++q,非常,chinese,extraordinary
GOOD,kh~wa++i--ti++i--ta++nHa++u--,快递单号,chinese,tracking number
GOOD,Xo-o--u+mUU++nyyuA++n,守门员,chinese,goalkeeper
GOOD,ka-a--u+xy~ya++u--ph~yA++A--n,搞笑片,chinese,funny movie
GOOD,Xi++i--ph~ii++ntxy~yA++nkh~O++O--q,视频监控,chinese,video surveillance
GOOD,fa++XU++q,发生,chinese,happen
GOOD,ta++nyyuA++nkOO++,单元格,chinese,cell
GOOD,ka++u++kU++nxy~yee++,高跟鞋,chinese,high heel
GOOD,waa++ntxy~h~yuA++n,完全,chinese,completely/fully
GOOD,TXi++ta++u--,知道,chinese,tell
GOOD,fU-U--U+nXwU++txy~ya++a--q,粉刷匠,chinese,painter
GOOD,txy~ya++u,教,chinese,religion
GOOD,pa-a--u+,宝,chinese,jewel
GOOD,Ha++u++,嚆,chinese,sound
GOOD,txy~ye-e--e+,毑,chinese,mother
GOOD,kh~waa++qfU++qpa++u--yu-u--u+,狂风暴雨,chinese,stormy
GOOD,mU++U--q,梦,chinese,dream
GOOD,txy~yA++A--nXU++nfaa++q,健身房,chinese,gym
GOOD,tyA++A--nyi-i--i+qmii++qxy~i++q,电影明星,chinese,movie star
GOOD,laa++n,岚,chinese,mist
GOOD,pi-i--i+txy~i++i--pU-U--U+n,笔记本,chinese,notebook
GOOD,fa++TXa-a--a+n,发展,chinese,develop
GOOD,xy~i++n,欣,chinese,happy
GOOD,pU++U--n,坋,chinese,dust
GOOD,th~yAA++n,屇,chinese,cave
GOOD,ph~aa++q,庬,chinese,huge
GOOD,ph~i++q,娉,chinese,graceful
GOOD,xy~i++nli-i--i+txy~yA++A--nkh~a++q,心理健康,chinese,mental health
GOOD,sU++n,森,chinese,forest
GOOD,kO++qtswo++o--pya-a--u+,工作表,chinese,worksheet
GOOD,we++i++,威,chinese,power
GOOD,me-e--i+txy~ya-a--a+Xi++,美甲师,chinese,manicurist
GOOD,pyA++A--nli++i--tyA++A--n,便利店,chinese,convenience store
GOOD,TXh~waa++qth~ou++kwe++i--,床头柜,chinese,bedside table
GOOD,wei++yyu++e++txy~i++n,违约金,chinese,liquidated damages
GOOD,kwa-a--a+q,犷,chinese,rough
GOOD,xy~ya++a--qph~ii++tsh~a++,橡皮擦,chinese,eraser
GOOD,txy~ya++uxy~yue++,教学,chinese,teach
GOOD,xy~ya++a--q,橡,chinese,oak
GOOD,th~au++,匋,chinese,pottery
GOOD,a++a--nla-a--a+pa++,按喇叭,chinese,horn
GOOD,th~ou++yi-i--i+qyii++,投影仪,chinese,projector
GOOD,txy~yee++kwo-o--o+,结果,chinese,result
GOOD,txy~h~ya++q,斨,chinese,axe
GOOD,txy~yA-A--A+ntxy~ii++Xi++i--ph~ii++n,剪辑视频,chinese,clip video
GOOD,txy~ya++,家,chinese,home
GOOD,tyA++A--nna-a--u+TXu-u--u+txy~i++,电脑主机,chinese,computer host
GOOD,li++i--txy~ya++utxy~h~yau++,立交桥,chinese,overpass
GOOD,kh~wa++i--,浍,chinese,drain
GOOD,xy~yo++u++,庥,chinese,protection
GOOD,XU++qmi++i--q,生命,chinese,breath
GOOD,tO++O--qHwU++U--ph~yA++A--n,动画片,chinese,cartoon
GOOD,ya-a--a+ntxy~i++i--qkh~wa++a--q,眼镜框,chinese,glasses frames
GOOD,Hwo-o--o+TXh~O++si++txy~i++,火车司机,chinese,train driver
GOOD,pwo++lii++txy~h~yau++,玻璃桥,chinese,glass bridge
GOOD,mii++n,旻,chinese,heaven
GOOD,ka++q,冈,chinese,ridge
GOOD,kh~a-a--a+n,坎,chinese,pit
GOOD,tyA++A--nfU++qXa++a--n,电风扇,chinese,electric fan
GOOD,xy~yO++q,兄,chinese,elder brother
GOOD,fuu++TXwa++qXO++O--txy~i++i--,服装设计,chinese,fashion design
GOOD,txy~yo-o--u+,玖,chinese,black jade
GOOD,ya++n,啱,chinese,correct
GOOD,tO++O--q,湩,chinese,milk
GOOD,XU++qri++i--wu-u--u+Hwe++i--,生日舞会,chinese,birthday party
GOOD,TXh~aa++pe++i++tyA++A--n,茶杯垫,chinese,tea coaster
GOOD,tsa-a--u+Xwe++i--tsa-a--u+txy~h~i-i--i+,早睡早起,chinese,go to bed early
GOOD,lyau++,嫽,chinese,good
GOOD,XUU++ntxy~i++qxy~i++i--th~O-O--O+q,神经系统,chinese,nervous system
GOOD,xy~i-i--i+Xo-o--u+TXh~ii++,洗手池,chinese,washbasin
GOOD,TXh~u++u--li-i--i+wU++U--nth~ii++,处理问题,chinese,solving issues
GOOD,txy~h~you++,厹,chinese,spear
GOOD,kh~wa++a--qtxy~h~yuA++nXwe-e--i+,矿泉水,chinese,mineral water
GOOD,txy~i++i--n,溍,chinese,water
GOOD,ka++u++xy~ya++u--lyu++u--,高效率,chinese,high efficiency
GOOD,kO++qtswo++o--,工作,chinese,work/job
GOOD,we++i--XU++qmyAA++ntxy~h~yA++n,卫生棉签,chinese,tampon
GOOD,XU++qHwoo++,生活,chinese,life/existence
GOOD,pi-i--i+q,秉,chinese,to grasp
GOOD,ko++u--wu++u--TXh~O++,购物车,chinese,shopping cart
GOOD,fa++qXi++i--,方式,chinese,path/plan
GOOD,TXh~wa++i++,搋,chinese,to knead
GOOD,a++ntxy~h~yuA++n,安全,chinese,safe/secure
GOOD,TXo-o--u+kyu++A++ntxy~ye++,肘关节,chinese,elbow joint
GOOD,mu-u--u+yi++qXi++i--,母婴室,chinese,infant room
GOOD,tO-O--O+q,懂,chinese,to understand
GOOD,txy~i++i--syu++A--ntxy~i++,计算机,chinese,computer
GOOD,xy~ya-a--a+q,想,chinese,to think
GOOD,mi++i--q,命,chinese,life
GOOD,Xi-i--i+yO++O--q,使用,chinese,use
GOOD,wa++i--ma++i--yyuA++n,外卖员,chinese,delivery man
GOOD,mU-U--U+q,猛,chinese,ferocious
GOOD,TXa++u--,兆,chinese,omen
GOOD,txy~yO-O--O+q,煚,chinese,fire
GOOD,ka++u++lou++ta++a--Xa++a--,高楼大厦,chinese,high-rise building
GOOD,txy~h~ii++qkh~wa++a--q,情况,chinese,circumstances
GOOD,txy~i++qya++a--n,经验,chinese,experience
GOOD,pya++uTXyU-U--U+ntaa++a++a--n,标准答案,chinese,standard answer
GOOD,ra-a--a+q,壤,chinese,soil
GOOD,XO++O--xy~ya++a--qXi++,摄像师,chinese,videographer
GOOD,wuu++xy~yA++A--nwa-a--a+q,无线网,chinese,wi-fi
GOOD,TXh~UU++qTXa-a--a+q,成长,chinese,mature
GOOD,ka++u++su++u--kO++qlu++u--,高速公路,chinese,highway
GOOD,taa++yii++txy~ye-e--e+Hwo++o--,答疑解惑,chinese,faq
GOOD,kh~a++i--,愒,chinese,to desire
GOOD,tyee++,垤,chinese,anthill
GOOD,me-e--i+,嵄,chinese,mountain
GOOD,Xu++u--txy~u++u--xy~yA++A--n,数据线,chinese,data line
GOOD,XO++O--Hwe++i--,社会,chinese,community/society
GOOD,wei++,嵬,chinese,rocky
GOOD,XU-U--U+n,沈,chinese,liquid
GOOD,xy~ya++u,宵,chinese,night
GOOD,yi++ma++u--txy~yA++n,衣帽间,chinese,cloakroom
GOOD,th~ai++Xi++i--tyA++A--nna-a--u+,台式电脑,chinese,desktop pc
GOOD,txy~h~yaa++q,墙,chinese,wall
GOOD,th~yA++n,天,chinese,day
GOOD,ka++u++lou++ta++a--Xa++a--,高楼大厦,chinese,high-rise building
GOOD,si++txy~ya++TXh~O++,私家车,chinese,private car
GOOD,xy~ye++e--,嶰,chinese,mountain valley
GOOD,Xo-o--u+txy~i++kh~OO++,手机壳,chinese,phone case
GOOD,txy~yA++A--n,涧,chinese,mountain stream
GOOD,xy~ii++qwei++,行为,chinese,fact
GOOD,HOO++q,虹,chinese,rainbow
GOOD,TXwa-a--i+,跩,chinese,to waddle
GOOD,xy~yOO++q,熊,chinese,bear
GOOD,ph~UU++q,朋,chinese,friend
GOOD,tyA++A--nHwU++U--Ha++u--ma-a--a+,电话号码,chinese,phone number
GOOD,yi-i--i+nxy~ii++qya-a--a+ntxy~i++i--q,隐形眼镜,chinese,contact lenses
GOOD,yau++kh~O++O--qtxy~h~i++i--,遥控器,chinese,remote control
GOOD,yi++pU-U--U+nTXU++U--qtxy~i++q,一本正经,chinese,serious
GOOD,Xii++txy~yA++n,时间,chinese,moment
GOOD,xy~ii++q,侀,chinese,shape
GOOD,txy~yo++u--,旧,chinese,old
GOOD,pai++TXh~U++U--nXa++n,白衬衫,chinese,white shirt
GOOD,Haa++qpa++nxy~i++i--nxy~i++,航班信息,chinese,flight information
GOOD,xy~ya-a--u+,晓,chinese,dawn
GOOD,tyA++A--nxy~yA++A--nka-a--a+n,电线杆,chinese,telephone pole
GOOD,kh~U++q,坑,chinese,hole
GOOD,tO++qxy~i++,东西,chinese,creature
GOOD,xy~yaa++,舺,chinese,boat
GOOD,pa++a--nkO++qTXwo++,办公桌,chinese,desk
GOOD,ka++i++,垓,chinese,boundary
GOOD,kOO++Xi++i--HwU++U--,格式化,chinese,format
GOOD,laa++ntxy~h~you++TXh~a-a--a+q,篮球场,chinese,basketball court
GOOD,th~ye++,怗,chinese,peaceful
GOOD,xy~yA++A--nxy~ya++a--q,现象,chinese,phenomenon
GOOD,kh~a++a--n,墈,chinese,cliff
GOOD,TXh~UU++qkO++qrUU++nXi++i--,成功人士,chinese,successful person
GOOD,txy~i++qXUU++nto-o--u+so-o--u+,精神抖擞,chinese,refreshed
GOOD,fe++i--,怫,chinese,anger
GOOD,tsO++q,宗,chinese,school
GOOD,txy~yA++A--nXU++ntxy~ya++ulyA++A--n,健身教练,chinese,fitness coach
GOOD,kh~wa++q,筐,chinese,basket
GOOD,xy~yA-A--A+nXi++i--ph~ii++q,显示屏,chinese,display
GOOD,ya++nHwU++xy~yo++u--,烟花秀,chinese,fireworks show
GOOD,ta++a--q,凼,chinese,pool
GOOD,kUU++n,哏,chinese,funny
GOOD,we++i--XU++qTXi-i--i+,卫生纸,chinese,toilet paper
GOOD,ph~ai++,棑,chinese,raft
GOOD,kO++qsi++mii++qTXh~U++q,公司名称,chinese,company name
o#,lo#fd,luft,danish,air
GOOD,E_blU,æble,danish,apple
o#,slo#,slå,danish,beat
a#,a#l,øl,danish,beer
O,fOyl,fugl,danish,bird
a#,dra#ph~U,dråbe,danish,drop
a#,a#r,øre,danish,ear
GOOD,e#sh~d,øst,danish,east
GOOD,Eh~dsU,ætse,danish,etch
U,to#jU,tåge,danish,fog
',hUn',hånd,danish,hand
o#,ho#l,hul,danish,hole
e_,le_bU,læbe,danish,lip
a#,ma#trk,møtrik,danish,nut
a#,la#bU,løbe,danish,run
GOOD,a#m,øm,danish,tender
GOOD,E_CU,æde,danish,to eat
o#,to#,tå,danish,toe
ou#,Abno^u#mUl,abnormal,english,abnormal
A,A^ksEs,access,english,access
U,Utxi^v,achieve,english,achieve
b,bAnd,band,english,band
yu,byu^tUfUl,beautiful,english,beautiful
I,bigI^n,begin,english,begin
O,bOli^v,believe,english,believe
u#,bOu#c,birth,english,birth
U,blUd,blood,english,blood
ow,blow,blow,english,blow
Ou#,blOu#,blur,english,blur
ou#,bou#d,board,english,board
O,bOk,book,english,book
a,kal,call,english,call
A,kAt,cat,english,cat
A,klAwd,cloud,english,cloud
E,kUnsE^ptxuwUlayz,conceptualize,english,conceptualize
A,kOntrA^st,contrast,english,contrast
uw,kuwl,cool,english,cool
ey,kreyv,crave,english,crave
iey,krie^yt,create,english,create
A,dAnts,dance,english,dance
ey,deyt,date,english,date
ey,dey,day,english,day
ay,dOsa^yd,decide,english,decide
ow,diko^wd,decode,english,decode
d,did,deed,english,deed
ey,dE^mOnstreyt,demonstrate,english,demonstrate
ey,fe^ymIs,famous,english,famous
ow,fE^low,fellow,english,fellow
f,fayr,fire,english,fire
Aw,fAwnde^yxOn,foundation,english,foundation
g,gIft,gift,english,gift
h,hil,heal,english,heal
ay,hay,hi,english,hi
k,kiq,king,english,king
l,lUv,love,english,love
I,mAgnI^fOsInt,magnificent,english,magnificent
e,meyk,make,english,make
m,mau#k,mark,english,mark
j,mE^jOr,measure,english,measure
n,nowt,note,english,note
p,pley,play,english,play
r,rAt,rat,english,rat
u#ey,u#e^yvOn,raven,english,raven
Eu#,u#OpE^u#,repair,english,repair
i,sit,seat,english,seat
s,sik,seek,english,seek
u#,sinyo^u#Iti,seniority,english,seniority
x,xIp,ship,english,ship
q,siq,sing,english,sing
I,sUfI^stUkeydId,sophisticated,english,sophisticated
s,sol,soul,english,soul
u#i,spu#iq,spring,english,spring
C,CIs,this,english,this
c,cor,thor,english,thor
t,taym,time,english,time
u,tul,tool,english,tool
v,vayb,vibe,english,vibe
ey,weyt,wait,english,wait
w,weyv,wave,english,wave
Ou#,wa^yOu#,wire,english,wire
I,wI^zdUm,wisdom,english,wisdom
o,wolf,wolf,english,wolf
O,wOd,would,english,would
y,yard,yard,english,yard
z,zown,zone,english,zone
z,zum,zoom,english,zoom
GOOD,paqkki,pankki,finnish,bank (institution)
GOOD,pronssi,pronssi,finnish,bronze (metal)
GOOD,ka^uppa,kauppa,finnish,commerce/trade
GOOD,kurssi,kurssi,finnish,course/class
GOOD,si#_,syy,finnish,filament
